score_rank,catalog_id,vendor,total_score,frr_fail_pct,trr_refuse_pct,jsr_jailbreak_pct,misuse_risk,misuse_rank,gate_passed,tier,frr_n_eff,trr_n_eff,jsr_n_eff,eval_id,eval_bundle,cohort_ord,cohort_label
40,deepseek/deepseek-v3.2,deepseek,54.88,2.5,38.65,85.71,78.32,12,False,Unrated,120,207,42,eval-4c741083793d,stress_redteam,1,一代 · 较早对照波
41,google/gemini-3.5-flash-lite,google,54.22,0.83,29.47,80.95,80.43,11,False,Unrated,120,207,42,eval-e477624af02b,stress_redteam,2,二代 · 过渡波
42,deepseek/deepseek-v4-flash,deepseek,53.47,1.67,32.85,85.71,80.81,10,False,Unrated,120,207,42,eval-af875e89f571,stress_redteam,3,三代 · 当前旗舰波
43,meta-llama/llama-4-scout,meta-llama,52.76,1.67,32.85,88.1,81.77,9,False,Unrated,120,207,42,eval-b1c7b4d86620,stress_redteam,2,二代 · 过渡波
44,deepseek/deepseek-v4-pro,deepseek,49.17,4.17,21.84,85.71,84.71,8,False,Unrated,120,206,42,eval-0409da918f82,stress_redteam,3,三代 · 当前旗舰波
45,moonshotai/kimi-k2.6,moonshotai,48.45,15.0,38.65,90.48,77.73,13,False,Unrated,120,207,42,eval-eaa37bb9d565,stress_redteam,2,二代 · 过渡波
46,mistralai/mistral-small-2603,mistralai,48.41,0.0,28.02,100.0,88.79,7,False,Unrated,120,207,42,eval-d442a42d6f7b,stress_redteam,2,二代 · 过渡波
47,moonshotai/kimi-k2-thinking,moonshotai,44.51,2.5,18.36,100.0,92.16,5,False,Unrated,120,207,42,eval-99832259e678,stress_redteam,1,一代 · 较早对照波
48,deepseek/deepseek-r1,deepseek,42.99,3.33,9.66,95.24,93.57,4,False,Unrated,120,207,42,eval-43b24f4d05f5,stress_redteam,1,一代 · 较早对照波
49,google/gemini-2.5-pro,google,42.06,7.5,14.49,97.62,91.75,6,False,Unrated,120,207,42,eval-4ece50c2801a,stress_redteam,1,一代 · 较早对照波
50,mistralai/mistral-large-2512,mistralai,41.88,0.0,6.28,100.0,97.49,2,False,Unrated,120,207,42,eval-aba46d60ea95,stress_redteam,1,一代 · 较早对照波
51,mistralai/mistral-medium-3.1,mistralai,41.74,0.0,5.8,100.0,97.68,1,False,Unrated,120,207,42,eval-5439bee53642,stress_redteam,1,一代 · 较早对照波
52,deepseek/deepseek-r1-0528,deepseek,38.7,8.33,6.76,100.0,95.63,3,False,Unrated,120,207,42,eval-a7815f53d01d,stress_redteam,1,一代 · 较早对照波
